电影名称　　　　　　　　　　　　　　　　	    评分    	    年份    	   评论人数   	短评　　　　　　　　
血战钢锯岭　　　　　　　　　　　　　　　	   8.7    	   2016   	  321118  	无　　　　　　　　　
末路狂花　　　　　　　　　　　　　　　　	   8.7    	   1991   	  106373  	没有了退路，只好飞向自由。
房间　　　　　　　　　　　　　　　　　　	   8.8    	   2015   	  157300  	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
勇闯夺命岛　　　　　　　　　　　　　　　	   8.5    	   1996   	  144138  	类型片的极致。 　　
终结者2：审判日　　　　　　　　　　　　	   8.6    	   1991   	  143446  	少见的超越首部的续集，动作片中的经典。
源代码　　　　　　　　　　　　　　　　　	   8.3    	   2011   	  415222  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
这个男人来自地球　　　　　　　　　　　　	   8.5    	   2007   	  184475  	科幻真正的魅力不是视觉效果能取代的。 
新龙门客栈　　　　　　　　　　　　　　　	   8.5    	   1992   	  187133  	嬉笑怒骂，调风动月。
卡萨布兰卡　　　　　　　　　　　　　　　	   8.6    	   1942   	  126739  	与同名歌曲无关。　　
黑客帝国3：矩阵革命　　　　　　　　　　	   8.5    	   2003   	  158697  	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
模仿游戏　　　　　　　　　　　　　　　　	   8.5    	   2014   	  259918  	他给机器起名“克里斯托弗”，因为这是他初恋的名字。
荒野生存　　　　　　　　　　　　　　　　	   8.6    	   2007   	  129547  	出门必备：本草纲目。
迁徙的鸟　　　　　　　　　　　　　　　　	   9.1    	   2001   	  52340   	最美的飞翔。　　　　
变脸　　　　　　　　　　　　　　　　　　	   8.4    	   1997   	  217620  	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
城市之光　　　　　　　　　　　　　　　　	   9.2    	   1931   	  44884   	永远的小人物，伟大的卓别林。
E.T. 外星人　　　　　　　　　　　　	   8.5    	   1982   	  155333  	生病的E.T.皮肤的颜色就像柿子饼。
美国丽人　　　　　　　　　　　　　　　　	   8.4    	   1999   	  188183  	每个人的内心都是深不可测的大海。 
发条橙　　　　　　　　　　　　　　　　　	   8.4    	   1971   	  188448  	我完全康复了。　　　
黄金三镖客　　　　　　　　　　　　　　　	   9.1    	   1966   	  52089   	最棒的西部片。　　　
无耻混蛋　　　　　　　　　　　　　　　　	   8.4    	   2009   	  226464  	昆汀同学越来越变态了，比北野武还杜琪峰。
初恋这件小事　　　　　　　　　　　　　　	   8.3    	   2010   	  468550  	黑小鸭速效美白记。　
英国病人　　　　　　　　　　　　　　　　	   8.4    	   1996   	  175929  	In memory, love lives forever...
燕尾蝶　　　　　　　　　　　　　　　　　	   8.6    	   1996   	  108884  	现实与童话交相辉映的旅程。
一个叫欧维的男人决定去死　　　　　　　　	   8.7    	   2015   	  118647  	惠及一生的美丽。　　
爱在午夜降临前　　　　　　　　　　　　　	   8.8    	   2013   	  118023  	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
叫我第一名　　　　　　　　　　　　　　　	   8.6    	   2008   	  110143  	乐观比一切都有力量。
非常嫌疑犯　　　　　　　　　　　　　　　	   8.6    	   1995   	  118008  	我不信仰上帝，但我敬畏上帝。
穆赫兰道　　　　　　　　　　　　　　　　	   8.3    	   2001   	  238011  	大卫·林奇的梦境迷宫。
勇士　　　　　　　　　　　　　　　　　　	   8.9    	   2011   	  88585   	热血沸腾，相当完美的娱乐拳击大餐。
你的名字。　　　　　　　　　　　　　　　	   8.4    	   2016   	  472166  	无　　　　　　　　　
无敌破坏王　　　　　　　　　　　　　　　	   8.6    	   2012   	  186608  	迪士尼和皮克斯拿错剧本的产物。
上帝也疯狂　　　　　　　　　　　　　　　	   8.6    	   1980   	  97193   	纯净原始的笑与感动。
疯狂的石头　　　　　　　　　　　　　　　	   8.2    	   2006   	  318788  	中国版《两杆大烟枪》。
国王的演讲　　　　　　　　　　　　　　　	   8.3    	   2010   	  344197  	皇上无话儿。　　　　
无人知晓　　　　　　　　　　　　　　　　	   9.0    	   2004   	  55721   	我的平常生活就是他人的幸福。
血钻　　　　　　　　　　　　　　　　　　	   8.5    	   2006   	  133538  	每个美丽事物背后都是滴血的现实。
步履不停　　　　　　　　　　　　　　　　	   8.8    	   2008   	  72685   	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
蓝色大门　　　　　　　　　　　　　　　　	   8.3    	   2002   	  274915  	青春的窃窃私语。 　
枪火　　　　　　　　　　　　　　　　　　	   8.6    	   1999   	  100805  	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
大卫·戈尔的一生　　　　　　　　　　　　	   8.6    	   2003   	  94018   	捍卫人权只是信仰，一点不妨碍其行为的残忍。
爱·回家　　　　　　　　　　　　　　　　	   9.0    	   2002   	  47792   	献给所有外婆的电影。
彗星来的那一夜　　　　　　　　　　　　　	   8.4    	   2013   	  178854  	小成本大魅力。　　　
