         电影名称         	  评分  	  年份  	评论人数	短评
             大闹天宫             	   9.3    	   1961   	   1964   	1978
          哈利·波特与魔法石           	   8.9    	   2001   	  528941  	童话世界的开端。
             钢琴家              	   9.1    	   2002   	  318946  	音乐能化解仇恨。
             海豚湾              	   9.3    	   2009   	  261229  	海豚的微笑，是世界上最高明的伪装。
           本杰明·巴顿奇事           	   8.9    	   2008   	  626243  	在时间之河里感受溺水之苦。
             黑客帝国             	   9.0    	   1999   	  478581  	视觉革命。
              情书              	   8.9    	   1995   	  583041  	暗恋的极致。
            看不见的客人            	   8.8    	   2016   	  706171  	你以为你以为的就是你以为的。
             让子弹飞             	   8.8    	   2010   	 1021566  	你给我翻译翻译，神马叫做TMD的惊喜。
            我不是药神             	   9.0    	   2018   	 1305820  	对我们国家而言，这样的电影多一部是一部。
           西西里的美丽传说           	   8.9    	   2000   	  607028  	美丽无罪。
             猫鼠游戏             	   8.9    	   2002   	  463281  	骗子大师和执著警探的你追我跑故事。 
             小鞋子              	   9.2    	   1997   	  242243  	奔跑的孩子是天使。
            拯救大兵瑞恩            	   9.0    	   1998   	  402838  	美利坚精神输出大片No1.
             美国往事             	   9.2    	   1984   	  268811  	往事如烟，无处祭奠。
             音乐之声             	   9.0    	   1965   	  372109  	用音乐化解仇恨，让歌声串起美好。
             致命魔术             	   8.8    	   2006   	  536038  	孪生蝙蝠侠大战克隆金刚狼。
             七宗罪              	   8.8    	   1995   	  633246  	警察抓小偷，老鼠玩死猫。
             低俗小说             	   8.8    	   1994   	  536363  	故事的高级讲法。
           穿条纹睡衣的男孩           	   9.1    	   2008   	  293261  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
          被嫌弃的松子的一生           	   8.9    	   2006   	  480786  	以戏谑来戏谑戏谑。
            沉默的羔羊             	   8.8    	   1991   	  534230  	安东尼·霍普金斯的顶级表演。
             蝴蝶效应             	   8.8    	   2004   	  589003  	人的命运被自己瞬间的抉择改变。
             春光乍泄             	   8.9    	   1997   	  398229  	爱情纠缠，男女一致。
             心灵捕手             	   8.9    	   1997   	  436792  	人生中应该拥有这样的一段豁然开朗。
             禁闭岛              	   8.8    	   2010   	  583749  	昔日翩翩少年，今日大腹便便。
             勇敢的心             	   8.9    	   1995   	  410237  	史诗大片的典范。
           布达佩斯大饭店            	   8.8    	   2014   	  547228  	小清新的故事里注入了大历史的情怀。
            剪刀手爱德华            	   8.7    	   1990   	  721502  	浪漫忧郁的成人童话。
            天使爱美丽             	   8.7    	   2001   	  698088  	法式小清新。 
             阿凡达              	   8.7    	   2009   	  850125  	绝对意义上的美轮美奂。
             摩登时代             	   9.3    	   1936   	  167936  	大时代中的人生，小人物的悲喜。
            加勒比海盗             	   8.7    	   2003   	  561764  	约翰尼·德普的独角戏。
             致命ID             	   8.8    	   2003   	  489899  	最不可能的那个人永远是最可能的。
             幽灵公主             	   8.9    	   1997   	  355918  	人与自然的战争史诗。
